date,max,average,min,precipitation,rain,city
6/16/16,73,65.6,57,0.36,1,0
6/17/16,79,68.2,59,0.00,0,0
6/18/16,86,71.6,63,0.00,0,0
6/19/16,81,74.8,68,0.00,0,0
6/20/16,84,75.8,70,0.00,0,0
6/21/16,84,76.7,70,0.00,0,0
6/22/16,79,73.4,64,0.00,0,0
6/23/16,75,71.3,68,0.00,0,0
6/24/16,88,75.3,68,0.00,0,0
6/25/16,81,71.8,64,0.00,0,0
6/26/16,75,70.4,64,0.00,0,0
6/27/16,79,72.2,66,0.00,0,0
6/28/16,84,76.9,68,0.00,0,0
6/29/16,81,74.7,68,0.00,0,0
6/30/16,90,76.4,68,0.00,0,0
7/1/16,82,73.4,64,0.00,0,0
7/2/16,86,76.6,66,0.00,0,0
7/3/16,88,80.9,73,0.00,0,0
7/4/16,79,73.7,70,0.12,1,0
7/5/16,77,72.3,68,0.00,0,0
7/6/16,75,70.1,66,0.00,0,0
7/7/16,73,69.3,66,0.31,1,0
7/8/16,88,76.5,66,0.00,0,0
7/9/16,90,84.3,75,0.00,0,0
7/10/16,88,81.3,72,0.00,0,0
7/11/16,99,83.8,73,0.00,0,0
7/12/16,95,80.4,68,0.00,0,0
7/13/16,82,75.8,64,0.00,0,0
7/14/16,86,78.3,72,0.00,0,0
7/15/16,86,79.9,72,0.00,0,0
7/16/16,86,79.4,72,0.00,0,0
7/17/16,84,78.8,73,0.00,0,0
7/18/16,81,76.8,73,0.00,0,0
7/19/16,90,80.9,73,0.00,0,0
7/20/16,86,80,75,0.00,0,0
7/21/16,95,80.6,70,0.00,0,0
7/22/16,90,77.1,68,0.19,1,0
7/23/16,86,77.7,72,0.00,0,0
7/24/16,90,80.2,73,0.00,0,0
7/25/16,91,83,75,0.00,0,0
7/26/16,88,80.9,73,0.00,0,0
7/27/16,81,75.4,68,0.00,0,0
7/28/16,82,75.2,70,0.00,0,0
7/29/16,82,73.8,68,0.00,0,0
7/30/16,75,72,68,0.00,0,0
7/31/16,91,76,66,0.00,0,0
8/1/16,86,78.3,66,0.00,0,0
8/2/16,81,75.5,72,0.00,0,0
8/3/16,88,76.7,68,0.00,0,0
8/4/16,97,81.3,70,0.00,0,0
